Date,Preis,Anteil EE
01.10.2018,61.24,37.8
02.10.2018,42.34,56.4
03.10.2018,18.29,67.8
04.10.2018,65.15,34.2
05.10.2018,60.3,37.5
06.10.2018,57.91,37.6
07.10.2018,54.92,41.5
08.10.2018,63.88,32
09.10.2018,71.57,29.2
10.10.2018,62.17,34.8
11.10.2018,54.35,43.4
12.10.2018,56.77,40.9
13.10.2018,44.88,49.8
14.10.2018,28.09,57.6
15.10.2018,59.45,30.1
16.10.2018,72,21.3
17.10.2018,70.91,22.6
18.10.2018,63.16,25.8
19.10.2018,67.61,21.1
20.10.2018,59.38,28.1
21.10.2018,55.51,33.4
22.10.2018,56.13,35.7
23.10.2018,34.62,59.9
24.10.2018,44.57,53.2
25.10.2018,48.74,48.5
26.10.2018,58.53,38.9
27.10.2018,48.12,42.2
28.10.2018,43.46,49.9
29.10.2018,43.97,46.6
30.10.2018,33.67,56.9
31.10.2018,45.14,46.2
01.11.2018,47.91,36.7
02.11.2018,54.77,37.6
03.11.2018,52.04,29.6
04.11.2018,47.47,31.7
05.11.2018,57.19,27.7
06.11.2018,58.55,30.5
07.11.2018,56.01,33
08.11.2018,62.87,25.1
09.11.2018,59.51,28.5
10.11.2018,43.07,50.1
11.11.2018,39.73,58.6
12.11.2018,54.9,34.1
13.11.2018,53.11,41.3
14.11.2018,61.87,28.9
15.11.2018,63.48,24.6
16.11.2018,57.77,37.3
17.11.2018,48.21,48.6
18.11.2018,47.6,46.2
19.11.2018,48.22,51
20.11.2018,46.65,54.5
21.11.2018,55.36,35.6
22.11.2018,77.8,24
23.11.2018,80.33,19.5
24.11.2018,61.95,21.8
25.11.2018,53.85,27.7
26.11.2018,73.67,26.9
27.11.2018,75.51,20.2
28.11.2018,52.99,41.7
29.11.2018,50.4,49.7
30.11.2018,57.5,37.3
01.12.2018,46.86,44
02.12.2018,30.2,60.8
03.12.2018,44.62,48
04.12.2018,50.65,41.3
05.12.2018,59.21,31.8
06.12.2018,54.75,39.2
07.12.2018,42.58,56.2
08.12.2018,11.87,79.4
09.12.2018,8.92,77.8
10.12.2018,36.16,60.7
11.12.2018,55.37,40.2
12.12.2018,69.91,21.8
13.12.2018,66.24,27.6
14.12.2018,71.16,22.2
15.12.2018,54.41,30.7
16.12.2018,49.71,35.5
17.12.2018,69.39,23.2
18.12.2018,59.45,31.8
19.12.2018,56.44,38.6
20.12.2018,56.69,34.4
21.12.2018,49.62,59.2
22.12.2018,36.62,54.4
23.12.2018,42.67,49.3
24.12.2018,46.83,46
25.12.2018,19.01,62.7
26.12.2018,47.4,51.3
