Datum;Temperatur;Verbrauch
01.01.2015;1.6;1096852.75
02.01.2015;1.5;1288914.75
03.01.2015;1.1;1213309.5
04.01.2015;2.2;1177896
05.01.2015;0.1;1425927.5
06.01.2015;-3.3;1434875
07.01.2015;1.5;1548897
08.01.2015;6.1;1573448.5
09.01.2015;8.9;1551795.5
10.01.2015;12.8;1330121.5
11.01.2015;5.8;1245315.5
12.01.2015;7.1;1572223
13.01.2015;9.1;1557794.25
14.01.2015;6.1;1554254.25
15.01.2015;7.5;1580828.75
16.01.2015;6.1;1534068.75
17.01.2015;3.8;1329000.75
18.01.2015;0.6;1243108.75
19.01.2015;-1.3;1559946
20.01.2015;0.4;1595471.5
21.01.2015;1;1594371.75
22.01.2015;1.9;1605934
23.01.2015;1.6;1580198
24.01.2015;-0.6;1391848.5
25.01.2015;-0.2;1265055.75
26.01.2015;1.2;1581008
27.01.2015;3.5;1592247.25
28.01.2015;3.6;1613410.75
29.01.2015;2.8;1596585.25
30.01.2015;1.8;1562849.25
31.01.2015;1.6;1345132.25
01.02.2015;2;1250357
02.02.2015;2.5;1592531
03.02.2015;0;1620916.5
04.02.2015;-1.3;1626316.25
05.02.2015;-0.4;1623523.25
06.02.2015;0.3;1597303
07.02.2015;-1.5;1395147.25
08.02.2015;1;1281069
09.02.2015;1.2;1595861.75
10.02.2015;3.2;1599749.5
11.02.2015;2.7;1594669.25
12.02.2015;0.8;1593174.5
13.02.2015;1;1562459
14.02.2015;1.5;1347657.5
15.02.2015;-0.7;1242427.5
16.02.2015;2.1;1512297.75
17.02.2015;2.1;1581008
18.02.2015;2.7;1589465
19.02.2015;0.5;1595995.75
20.02.2015;4.8;1557110.25
21.02.2015;5.6;1335687.25
22.02.2015;1.9;1238835.25
23.02.2015;2;1571784.25
24.02.2015;4.7;1584692.75
25.02.2015;4.4;1563406.5
26.02.2015;5.7;1561393.25
27.02.2015;4.8;1548504.5
28.02.2015;3.6;1332163.75
01.03.2015;6.6;1234739
02.03.2015;7.9;1527631.75
03.03.2015;6.3;1561668.75
04.03.2015;5.4;1572267.5
05.03.2015;4.7;1562429.25
06.03.2015;3.8;1530533
07.03.2015;3.4;1308026.75
08.03.2015;5.5;1175447
09.03.2015;7.8;1480349.25
10.03.2015;5.9;1525742
11.03.2015;5.6;1520659.25
12.03.2015;4.4;1521546.25
13.03.2015;5;1508895.25
14.03.2015;5.3;1317439
15.03.2015;5.9;1210941.25
16.03.2015;7.8;1491624
17.03.2015;10;1486214
18.03.2015;10.5;1476652.75
19.03.2015;10.5;1486948.25
20.03.2015;8;1473212
21.03.2015;4.9;1297006
22.03.2015;6.2;1178667.25
23.03.2015;4.2;1474552.5
24.03.2015;6.4;1497185.5
25.03.2015;9.9;1483083
