Datum;Temperatur;Anteil VE
01.01.2015;1.6;59.2
02.01.2015;1.5;46.5
03.01.2015;1.1;52.6
04.01.2015;2.2;55
05.01.2015;0.1;73.2
06.01.2015;-3.3;80.6
07.01.2015;1.5;75.8
08.01.2015;6.1;64.3
09.01.2015;8.9;52.5
10.01.2015;12.8;45.2
11.01.2015;5.8;40.9
12.01.2015;7.1;53.3
13.01.2015;9.1;56.2
14.01.2015;6.1;64.5
15.01.2015;7.5;57.5
16.01.2015;6.1;72.9
17.01.2015;3.8;77.1
18.01.2015;0.6;75.3
19.01.2015;-1.3;87.4
20.01.2015;0.4;89.3
21.01.2015;1;86.6
22.01.2015;1.9;86.4
23.01.2015;1.6;88.2
24.01.2015;-0.6;78.3
25.01.2015;-0.2;78.8
26.01.2015;1.2;76.4
27.01.2015;3.5;73
28.01.2015;3.6;64.9
29.01.2015;2.8;64.7
30.01.2015;1.8;81.8
31.01.2015;1.6;78.4
01.02.2015;2;77.3
02.02.2015;2.5;78
03.02.2015;0;83.6
04.02.2015;-1.3;86.6
05.02.2015;-0.4;82.1
06.02.2015;0.3;77.3
07.02.2015;-1.5;68.5
08.02.2015;1;54.8
09.02.2015;1.2;67.5
10.02.2015;3.2;80.4
11.02.2015;2.7;87.7
12.02.2015;0.8;87.3
13.02.2015;1;81.1
14.02.2015;1.5;75.8
15.02.2015;-0.7;68.1
16.02.2015;2.1;73.9
17.02.2015;2.1;84.6
18.02.2015;2.7;80.5
19.02.2015;0.5;72.9
20.02.2015;4.8;65.5
21.02.2015;5.6;66.5
22.02.2015;1.9;73
23.02.2015;2;67.3
24.02.2015;4.7;68.6
25.02.2015;4.4;79.4
26.02.2015;5.7;74.1
27.02.2015;4.8;77.8
28.02.2015;3.6;69.7
01.03.2015;6.6;51.4
02.03.2015;7.9;56.6
03.03.2015;6.3;58.4
04.03.2015;5.4;64.3
05.03.2015;4.7;76
06.03.2015;3.8;77.8
07.03.2015;3.4;61.8
08.03.2015;5.5;60.1
09.03.2015;7.8;78.1
10.03.2015;5.9;75.6
11.03.2015;5.6;75.6
12.03.2015;4.4;80
13.03.2015;5;75.5
14.03.2015;5.3;75.7
15.03.2015;5.9;64.8
16.03.2015;7.8;61.7
17.03.2015;10;70.1
18.03.2015;10.5;73.4
19.03.2015;10.5;78.6
20.03.2015;8;80.1
21.03.2015;4.9;72.3
22.03.2015;6.2;69.2
23.03.2015;4.2;78.1
24.03.2015;6.4;81.4
25.03.2015;9.9;75.1
26.03.2015;7.8;80.3
27.03.2015;9;71.7
28.03.2015;9;65.1
29.03.2015;11.2;44.9
30.03.2015;8.7;46.5
31.03.2015;9.8;50.7
01.04.2015;6.8;49.3
02.04.2015;6.8;58.3
03.04.2015;5.9;61.4
04.04.2015;6.1;72.4
05.04.2015;5.7;66.3
06.04.2015;4.8;70.3
07.04.2015;6;70.1
08.04.2015;8.2;75.6
09.04.2015;11.2;76.5
10.04.2015;12.7;75
